Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
554418~232-R	554418~232-R~J1-PDC~WES.variants.maf	2820	202	211	0.87	0.93	0.93	0.93
565248~004-R	565248~004-R~J1-PDC~WES.variants.maf	1022	249	282	0.66	0.8	0.78	0.79
571681~070-R	571681~070-R~J1-PDC~WES.variants.maf	1093	163	195	0.75	0.87	0.85	0.86
575813~281-R2	575813~281-R2~J2-PDC~WES.variants.maf	1035	234	262	0.68	0.82	0.8	0.81
596521~263-R	596521~263-R~J1-PDC~WES.variants.maf	963	253	234	0.66	0.79	0.8	0.8
615535~235-R	615535~235-R~J1-PDC~WES.variants.maf	1074	223	163	0.74	0.83	0.87	0.85
616732~234-R1	616732~234-R1~J1-PDC~WES.variants.maf	1045	189	176	0.74	0.85	0.86	0.85
618468~307-R	618468~307-R~J2-PDC~WES.variants.maf	1125	302	266	0.66	0.79	0.81	0.8
633739~251-R	633739~251-R~J1-PDC~WES.variants.maf	1025	281	201	0.68	0.78	0.84	0.81
635999~064-R	635999~064-R~J1-PDC~WES.variants.maf	791	441	337	0.5	0.64	0.7	0.67
636577~100-R	636577~100-R~J1-PDC~WES.variants.maf	1695	319	489	0.68	0.84	0.78	0.81
638234~109-R	638234~109-R~J1-PDC~WES.variants.maf	985	198	214	0.71	0.83	0.82	0.83
639538~348-R	639538~348-R~J2-PDC~WES.variants.maf	931	305	189	0.65	0.75	0.83	0.79
673883~063-R7	673883~063-R7~J1-PDC~WES.variants.maf	805	438	230	0.55	0.65	0.78	0.71
676499~111-R	676499~111-R~J2-PDC~WES.variants.maf	1110	206	218	0.72	0.84	0.84	0.84
719797~321-R	719797~321-R~J1-PDC~WES.variants.maf	992	215	225	0.69	0.82	0.82	0.82
719797~321-R	719797~321-R~J3-PDC~WES.variants.maf	983	224	225	0.69	0.81	0.81	0.81
738386~334-R	738386~334-R~J1-PDC~WES.variants.maf	1251	345	260	0.67	0.78	0.83	0.81
762968~020-R	762968~020-R~J2-PDC~WES.variants.maf	1116	163	171	0.77	0.87	0.87	0.87
777334~354-R3	777334~354-R3~J7-PDC~WES.variants.maf	1019	237	231	0.69	0.81	0.82	0.81
778377~087-R	778377~087-R~J2-PDC~WES.variants.maf	1005	232	233	0.68	0.81	0.81	0.81
784581~064-R	784581~064-R~J1-PDC~WES.variants.maf	1170	222	232	0.72	0.84	0.83	0.84
784911~089-T	784911~089-T~J2-PDC~WES.variants.maf	995	227	323	0.64	0.81	0.75	0.78
817829~284-R	817829~284-R~J1-PDC~WES.variants.maf	2674	289	572	0.76	0.9	0.82	0.86
821394~179-R	821394~179-R~J1-PDC~WES.variants.maf	962	264	277	0.64	0.78	0.78	0.78
823721~103-R	823721~103-R~J1-PDC~WES.variants.maf	1048	301	199	0.68	0.78	0.84	0.81
825966~067-R	825966~067-R~J1-PDC~WES.variants.maf	2628	497	862	0.66	0.84	0.75	0.79
827475~031-R6	827475~031-R6~J1-PDC~WES.variants.maf	1218	172	262	0.74	0.88	0.82	0.85
848979~319-R	848979~319-R~J2-PDC~WES.variants.maf	1164	204	142	0.77	0.85	0.89	0.87
864244~320-R	864244~320-R~J1-PDC~WES.variants.maf	1047	268	229	0.68	0.8	0.82	0.81
868679~213-R	868679~213-R~J2-PDC~WES.variants.maf	1009	264	243	0.67	0.79	0.81	0.8
873145~292-R	873145~292-R~J1-PDC~WES.variants.maf	1079	226	182	0.73	0.83	0.86	0.84
874868~142-R	874868~142-R~J2-PDC~WES.variants.maf	2347	245	332	0.8	0.91	0.88	0.89
875164~322-T	875164~322-T~J2-PDC~WES.variants.maf	1491	420	374	0.65	0.78	0.8	0.79
875755~015-R	875755~015-R~J1-PDC~WES.variants.maf	944	296	412	0.57	0.76	0.7	0.73
876135~273-R	876135~273-R~J2-PDC~WES.variants.maf	3260	221	219	0.88	0.94	0.94	0.94
876135~273-R	876135~273-R~J3-PDC~WES.variants.maf	3182	299	219	0.86	0.91	0.94	0.92
884544~143-R	884544~143-R~J1-PDC~WES.variants.maf	1041	359	344	0.6	0.74	0.75	0.75
884544~143-R	884544~143-R~J2-PDC~WES.variants.maf	1020	380	357	0.58	0.73	0.74	0.73
885512~296-R	885512~296-R~J2-PDC~WES.variants.maf	1085	247	292	0.67	0.81	0.79	0.8
899872~116-R	899872~116-R~J2-PDC~WES.variants.maf	1156	190	261	0.72	0.86	0.82	0.84
899932~113-R3	899932~113-R3~J6-PDC~WES.variants.maf	1202	158	179	0.78	0.88	0.87	0.88
899932~113-R3	899932~113-R3~J8-PDC~WES.variants.maf	1241	119	201	0.8	0.91	0.86	0.89
