Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
413561~133-T	413561~133-T.maf	1061	126	327	0.7	0.89	0.76	0.82
415267~285-R	415267~285-R.maf	3057	365	724	0.74	0.89	0.81	0.85
415371~026-R	415371~026-R.maf	3585	70	660	0.83	0.98	0.84	0.91
417612~090-R	417612~090-R.maf	1578	199	968	0.57	0.89	0.62	0.73
417952~058-R	417952~058-R.maf	1163	150	868	0.53	0.89	0.57	0.7
419622~098-T	419622~098-T.maf	1094	108	413	0.68	0.91	0.73	0.81
421758~270-R	421758~270-R.maf	1171	73	442	0.69	0.94	0.73	0.82
422866~222-R5	422866~222-R5.maf	1246	118	633	0.62	0.91	0.66	0.77
427551~204-R	427551~204-R.maf	1470	63	1878	0.43	0.96	0.44	0.6
428932~153-R	428932~153-R.maf	1210	176	535	0.63	0.87	0.69	0.77
429767~202-R	429767~202-R.maf	2857	92	518	0.82	0.97	0.85	0.9
431354~103-R	431354~103-R.maf	1139	46	434	0.7	0.96	0.72	0.83
435261~313-R	435261~313-R.maf	1183	105	391	0.7	0.92	0.75	0.83
436779~168-T	436779~168-T.maf	1206	210	1290	0.45	0.85	0.48	0.62
442324~144-R	442324~144-R.maf	1222	150	607	0.62	0.89	0.67	0.76
447687~232-R	447687~232-R.maf	966	176	752	0.51	0.85	0.56	0.68
449892~231-R	449892~231-R.maf	1069	64	468	0.67	0.94	0.7	0.8
451658~271-R	451658~271-R.maf	1035	192	487	0.6	0.84	0.68	0.75
454973~116-R3	454973~116-R3.maf	1271	112	778	0.59	0.92	0.62	0.74
454973~116-R4	454973~116-R4.maf	1242	119	673	0.61	0.91	0.65	0.76
455511~112-R	455511~112-R.maf	1233	76	480	0.69	0.94	0.72	0.82
459288~142-R	459288~142-R.maf	1847	106	1164	0.59	0.95	0.61	0.74
464991~137-R	464991~137-R.maf	1205	71	480	0.69	0.94	0.72	0.81
466732~252-T	466732~252-T.maf	3000	297	551	0.78	0.91	0.84	0.88
467112~017-R	467112~017-R.maf	1180	58	514	0.67	0.95	0.7	0.8
467783~034-R	467783~034-R.maf	1432	125	708	0.63	0.92	0.67	0.77
469116~191-R	469116~191-R.maf	6529	1863	5027	0.49	0.78	0.56	0.65
471365~239-R	471365~239-R.maf	922	251	489	0.55	0.79	0.65	0.71
