Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
654129~193-R	654129~193-R.maf	1970	315	536	0.7	0.86	0.79	0.82
657687~091-R	657687~091-R.maf	1079	69	560	0.63	0.94	0.66	0.77
665939~344-R	665939~344-R.maf	1307	87	534	0.68	0.94	0.71	0.81
668155~338-R	668155~338-R.maf	2913	274	475	0.8	0.91	0.86	0.89
671287~276-R	671287~276-R.maf	1231	166	500	0.65	0.88	0.71	0.79
673867~039-R	673867~039-R.maf	1199	135	478	0.66	0.9	0.71	0.8
673883~063-R4	673883~063-R4.maf	898	324	435	0.54	0.73	0.67	0.7
673883~063-R7	673883~063-R7.maf	870	373	451	0.51	0.7	0.66	0.68
674348~317-R	674348~317-R.maf	1137	129	611	0.61	0.9	0.65	0.75
675812~077-R	675812~077-R.maf	1161	112	669	0.6	0.91	0.63	0.75
676499~111-R	676499~111-R.maf	1246	70	722	0.61	0.95	0.63	0.76
682317~045-R	682317~045-R.maf	1071	185	587	0.58	0.85	0.65	0.74
683892~313-R	683892~313-R.maf	1518	248	991	0.55	0.86	0.61	0.71
684819~155-R	684819~155-R.maf	1390	365	1815	0.39	0.79	0.43	0.56
686756~172-R	686756~172-R.maf	1117	259	1013	0.47	0.81	0.52	0.64
689755~048-R	689755~048-R.maf	1112	64	565	0.64	0.95	0.66	0.78
691877~024-R	691877~024-R.maf	1298	107	623	0.64	0.92	0.68	0.78
692585~246-R	692585~246-R.maf	1510	228	462	0.69	0.87	0.77	0.81
697273~096-R	697273~096-R.maf	1071	169	408	0.65	0.86	0.72	0.79
711789~176-R	711789~176-R.maf	2730	62	1033	0.71	0.98	0.73	0.83
712175~110-R	712175~110-R.maf	1158	107	298	0.74	0.92	0.8	0.85
713595~302-R	713595~302-R.maf	1199	98	479	0.68	0.92	0.71	0.81
713683~067-R	713683~067-R.maf	1280	120	571	0.65	0.91	0.69	0.79
719797~321-R	719797~321-R.maf	1145	62	520	0.66	0.95	0.69	0.8
735871~273-R	735871~273-R.maf	1179	169	492	0.64	0.87	0.71	0.78
736525~025-R	736525~025-R.maf	1167	98	3136	0.27	0.92	0.27	0.42
738386~334-R	738386~334-R.maf	1431	165	900	0.57	0.9	0.61	0.73
738494~208-R2	738494~208-R2.maf	1245	129	644	0.62	0.91	0.66	0.76
744664~207-M	744664~207-M.maf	1094	154	591	0.59	0.88	0.65	0.75
746538~026-R	746538~026-R.maf	1114	70	521	0.65	0.94	0.68	0.79
746718~042-R	746718~042-R.maf	1843	35	791	0.69	0.98	0.7	0.82
746757~062-R	746757~062-R.maf	1409	38	716	0.65	0.97	0.66	0.79
747225~056-R	747225~056-R.maf	1076	152	630	0.58	0.88	0.63	0.73
748385~122-R	748385~122-R.maf	1174	211	691	0.57	0.85	0.63	0.72
755229~096-R	755229~096-R.maf	1172	89	609	0.63	0.93	0.66	0.77
755483~174-R	755483~174-R.maf	1039	176	294	0.69	0.86	0.78	0.82
756784~338-R	756784~338-R.maf	1237	171	407	0.68	0.88	0.75	0.81
761936~265-R	761936~265-R.maf	1177	106	595	0.63	0.92	0.66	0.77
762968~020-R	762968~020-R.maf	1212	67	467	0.69	0.95	0.72	0.82
764289~091-R	764289~091-R.maf	1138	140	631	0.6	0.89	0.64	0.75
764851~200-R	764851~200-R.maf	1186	91	528	0.66	0.93	0.69	0.79
765268~160-R	765268~160-R.maf	1101	333	292	0.64	0.77	0.79	0.78
767577~098-T	767577~098-T.maf	949	191	488	0.58	0.83	0.66	0.74
772611~094-R	772611~094-R.maf	1413	79	532	0.7	0.95	0.73	0.82
777334~354-R3	777334~354-R3.maf	1145	111	694	0.59	0.91	0.62	0.74
778377~087-R	778377~087-R.maf	1149	88	613	0.62	0.93	0.65	0.77
784581~064-R	784581~064-R.maf	1283	109	566	0.66	0.92	0.69	0.79
784911~089-T	784911~089-T.maf	1076	146	667	0.57	0.88	0.62	0.73
786545~187-R	786545~187-R.maf	1019	39	541	0.64	0.96	0.65	0.78
787269~337-R	787269~337-R.maf	1208	115	430	0.69	0.91	0.74	0.82
787684~078-R	787684~078-R.maf	12891	719	2169	0.82	0.95	0.86	0.9
791794~340-R	791794~340-R.maf	1451	174	608	0.65	0.89	0.7	0.79
792271~235-R	792271~235-R.maf	3059	71	385	0.87	0.98	0.89	0.93
